,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2711,Bharatpe,,,,Fintech,New Delhi,Insight Partners,04/06/2019,Series B,75000000,3.74,,
2712,Recykal,,,,Consulting,Greater Hyderabad ,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",04/06/2019,Series A,26000000,3.74,,
2713,Leegality,2016.0,,Male,SaaS,Greater Mumbai,Mumbai Angels,04/06/2019,Series A,3400000,3.74,,
2714,Nobroker,,,,E-commerce,Bangalore,General Atlantic,05/06/2019,Series C,51000000,3.74,,
2715,Sistema.Bio,,,,Food & Beverages,,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc (Electrifi), Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",06/06/2019,Other,273903468,3.74,,
2716,Chakr Innovation,,,,Energy,New Delhi,Ian Fund,06/06/2019,Series A,26000000,3.74,,
2717,Pratilipi,2015.0,,,Platforms & Social Media,Bangalore,Qiming Venture Partners,06/06/2019,Series B,1510950000,3.74,,
2718,Biz2Credit,,,,Fintech,,Westbridge Capital,06/06/2019,Series B,52000000,3.74,,
2719,Vogo Automotive Pvt. Ltd.,,,,Transportation,,Alteria Capital,08/06/2019,Early Stage,3584000,3.74,,
2720,Bolo App,,,,Platforms & Social Media,Bangalore,Nexus Venture Partners,10/06/2019,Early stage,430200,3.74,,
2721,Okcredit,,,,Fintech,,Tiger Global Management,10/06/2019,,0,3.74,,
2722,Wizcounsel,,,,Consulting,New Delhi,Kapil Dev,01/07/2019,Other,145000,3.74,,
2723,Uniphore,,,,AI,,March Capital Partners,01/07/2019,Series C,38080000,3.74,,
2724,Renewbuy,,,,Fintech,Gurgaon,"Lok Capital, Iifl Wealth",02/07/2019,Series B,19000000,3.74,,
2725,Atlan,,,,IT,,Waterbridge Ventures,02/07/2019,Series A,2500000,3.74,,
2726,Ola Cabs,,,,Transportation,,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",03/07/2019,Series D to late stage,1000000,3.74,Yes,7.3
2727,Daalchini Technologies,,,,Food & Beverages,New Delhi,Artha Venture,04/07/2019,Early stage,500000,3.74,,
2728,Board Infinity,,,,EdTech,,Multiple Angel Investors,08/07/2019,Other,319605,3.74,,
2729,House Of Msasaba,,,,Fashion,Greater Mumbai,Binny Bansal,09/07/2019,,0,3.74,,
2730,Byju'S,,,,Other,Bangalore,Qatar Investment Authority,10/07/2019,Other,150000000,3.74,,
